Chrom	CNt	Minor	Major	genotype	time	sample
1	3	1	2	AAB	After	M15_1F_Aca
1.5	4	0	4	Other	Unknown	M15_1F_Aca
2	3	1	2	AAB	After	M15_1F_Aca
2.5	3	1	2	AAB	After	M15_1F_Aca
3	3	1	2	AAB	After	M15_1F_Aca
3.5	3	1	2	AAB	After	M15_1F_Aca
4	2	1	1	AB	After	M15_1F_Aca
4.5	2	1	1	AB	After	M15_1F_Aca
5	3	1	2	AAB	After	M15_1F_Aca
5.5	3	0	3	AAA	Before	M15_1F_Aca
6	3	0	3	AAA	Before	M15_1F_Aca
6.5	3	1	2	AAB	After	M15_1F_Aca
7	3	1	2	AAB	After	M15_1F_Aca
7.5	3	1	2	AAB	After	M15_1F_Aca
8	1	0	1	Other	Unknown	M15_1F_Aca
8.5	4	2	2	Other	Unknown	M15_1F_Aca
9	3	1	2	AAB	After	M15_1F_Aca
9.5	2	1	1	AB	After	M15_1F_Aca
10	4	2	2	Other	Unknown	M15_1F_Aca
10.5	2	0	2	AA	Before	M15_1F_Aca
11	3	1	2	AAB	After	M15_1F_Aca
11.5	2	1	1	AB	After	M15_1F_Aca
12	2	1	1	AB	After	M15_1F_Aca
12.5	2	1	1	AB	After	M15_1F_Aca
13.5	4	2	2	Other	Unknown	M15_1F_Aca
14.5	4	1	3	Other	Unknown	M15_1F_Aca
15.5	3	1	2	AAB	After	M15_1F_Aca
16	3	1	2	AAB	After	M15_1F_Aca
16.5	3	0	3	AAA	Before	M15_1F_Aca
17	2	0	2	AA	Before	M15_1F_Aca
17.5	3	1	2	AAB	After	M15_1F_Aca
18	4	2	2	Other	Unknown	M15_1F_Aca
18.5	3	1	2	AAB	After	M15_1F_Aca
19	2	0	2	AA	Before	M15_1F_Aca
19.5	2	0	2	AA	Before	M15_1F_Aca
20	3	1	2	AAB	After	M15_1F_Aca
20.5	4	2	2	Other	Unknown	M15_1F_Aca
21.5	3	1	2	AAB	After	M15_1F_Aca
22.5	2	1	1	AB	After	M15_1F_Aca
