Chrom	CNt	Minor	Major	genotype	time	sample
1	4	2	2	Other	Unknown	M16_13H_Nec
1.5	4	2	2	Other	Unknown	M16_13H_Nec
2	4	2	2	Other	Unknown	M16_13H_Nec
2.5	2	0	2	AA	Before	M16_13H_Nec
3	3	1	2	AAB	After	M16_13H_Nec
3.5	3	1	2	AAB	After	M16_13H_Nec
4	3	0	3	AAA	Before	M16_13H_Nec
4.5	3	0	3	AAA	Before	M16_13H_Nec
5	5	2	3	Other	Unknown	M16_13H_Nec
5.5	2	0	2	AA	Before	M16_13H_Nec
6	4	2	2	Other	Unknown	M16_13H_Nec
6.5	4	2	2	Other	Unknown	M16_13H_Nec
7	4	2	2	Other	Unknown	M16_13H_Nec
7.5	4	2	2	Other	Unknown	M16_13H_Nec
8	2	0	2	AA	Before	M16_13H_Nec
8.5	5	2	3	Other	Unknown	M16_13H_Nec
9	2	0	2	AA	Before	M16_13H_Nec
9.5	2	0	2	AA	Before	M16_13H_Nec
10	3	1	2	AAB	After	M16_13H_Nec
10.5	3	1	2	AAB	After	M16_13H_Nec
11	3	1	2	AAB	After	M16_13H_Nec
11.5	3	1	2	AAB	After	M16_13H_Nec
12	4	2	2	Other	Unknown	M16_13H_Nec
12.5	4	2	2	Other	Unknown	M16_13H_Nec
13.5	3	0	3	AAA	Before	M16_13H_Nec
14.5	4	2	2	Other	Unknown	M16_13H_Nec
15.5	4	2	2	Other	Unknown	M16_13H_Nec
16	3	1	2	AAB	After	M16_13H_Nec
16.5	3	1	2	AAB	After	M16_13H_Nec
17	2	0	2	AA	Before	M16_13H_Nec
17.5	4	2	2	Other	Unknown	M16_13H_Nec
18	4	2	2	Other	Unknown	M16_13H_Nec
18.5	2	0	2	AA	Before	M16_13H_Nec
19	3	1	2	AAB	After	M16_13H_Nec
19.5	3	1	2	AAB	After	M16_13H_Nec
20	3	1	2	AAB	After	M16_13H_Nec
20.5	3	1	2	AAB	After	M16_13H_Nec
21.5	2	0	2	AA	Before	M16_13H_Nec
22.5	3	1	2	AAB	After	M16_13H_Nec
