Chrom	CNt	Minor	Major	genotype	time	sample
1	3	1	2	AAB	After	M22_1F_Nec
1.5	4	2	2	Other	Unknown	M22_1F_Nec
2	4	1	3	Other	Unknown	M22_1F_Nec
2.5	4	1	3	Other	Unknown	M22_1F_Nec
3	2	0	2	AA	Before	M22_1F_Nec
3.5	2	0	2	AA	Before	M22_1F_Nec
4	5	0	5	Other	Unknown	M22_1F_Nec
4.5	3	0	3	AAA	Before	M22_1F_Nec
5	6	2	4	Other	Unknown	M22_1F_Nec
5.5	3	0	3	AAA	Before	M22_1F_Nec
6	3	1	2	AAB	After	M22_1F_Nec
6.5	2	0	2	AA	Before	M22_1F_Nec
7	5	0	5	Other	Unknown	M22_1F_Nec
7.5	4	0	4	Other	Unknown	M22_1F_Nec
8	3	0	3	AAA	Before	M22_1F_Nec
8.5	7	1	6	Other	Unknown	M22_1F_Nec
9	2	0	2	AA	Before	M22_1F_Nec
9.5	3	1	2	AAB	After	M22_1F_Nec
10	3	0	3	AAA	Before	M22_1F_Nec
10.5	4	0	4	Other	Unknown	M22_1F_Nec
11	5	1	4	Other	Unknown	M22_1F_Nec
11.5	2	1	1	AB	After	M22_1F_Nec
12	3	1	2	AAB	After	M22_1F_Nec
12.5	3	1	2	AAB	After	M22_1F_Nec
13.5	7	1	6	Other	Unknown	M22_1F_Nec
14.5	3	1	2	AAB	After	M22_1F_Nec
15.5	3	0	3	AAA	Before	M22_1F_Nec
16	3	1	2	AAB	After	M22_1F_Nec
16.5	2	0	2	AA	Before	M22_1F_Nec
17	2	0	2	AA	Before	M22_1F_Nec
17.5	3	0	3	AAA	Before	M22_1F_Nec
18	3	1	2	AAB	After	M22_1F_Nec
18.5	2	0	2	AA	Before	M22_1F_Nec
19	3	1	2	AAB	After	M22_1F_Nec
19.5	8	2	6	Other	Unknown	M22_1F_Nec
20	3	1	2	AAB	After	M22_1F_Nec
20.5	4	1	3	Other	Unknown	M22_1F_Nec
21.5	4	1	3	Other	Unknown	M22_1F_Nec
22.5	3	1	2	AAB	After	M22_1F_Nec
