Chrom	CNt	Minor	Major	genotype	time	sample
1	3	1	2	AAB	After	M33_9E_Nec
1.5	3	1	2	AAB	After	M33_9E_Nec
2	3	0	3	AAA	Before	M33_9E_Nec
2.5	2	1	1	AB	After	M33_9E_Nec
3	2	0	2	AA	Before	M33_9E_Nec
3.5	2	0	2	AA	Before	M33_9E_Nec
4	2	1	1	AB	After	M33_9E_Nec
4.5	2	0	2	AA	Before	M33_9E_Nec
5	5	0	5	Other	Unknown	M33_9E_Nec
5.5	2	1	1	AB	After	M33_9E_Nec
6	2	1	1	AB	After	M33_9E_Nec
6.5	2	0	2	AA	Before	M33_9E_Nec
7	3	1	2	AAB	After	M33_9E_Nec
7.5	4	1	3	Other	Unknown	M33_9E_Nec
8	3	1	2	AAB	After	M33_9E_Nec
8.5	4	2	2	Other	Unknown	M33_9E_Nec
9	2	0	2	AA	Before	M33_9E_Nec
9.5	3	0	3	AAA	Before	M33_9E_Nec
10	3	1	2	AAB	After	M33_9E_Nec
10.5	2	1	1	AB	After	M33_9E_Nec
11	2	0	2	AA	Before	M33_9E_Nec
11.5	2	1	1	AB	After	M33_9E_Nec
12	2	0	2	AA	Before	M33_9E_Nec
12.5	3	0	3	AAA	Before	M33_9E_Nec
13.5	3	1	2	AAB	After	M33_9E_Nec
14.5	2	1	1	AB	After	M33_9E_Nec
15.5	3	1	2	AAB	After	M33_9E_Nec
16	3	1	2	AAB	After	M33_9E_Nec
16.5	2	1	1	AB	After	M33_9E_Nec
17	2	0	2	AA	Before	M33_9E_Nec
17.5	2	0	2	AA	Before	M33_9E_Nec
18	2	1	1	AB	After	M33_9E_Nec
18.5	2	1	1	AB	After	M33_9E_Nec
19	4	1	3	Other	Unknown	M33_9E_Nec
19.5	3	0	3	AAA	Before	M33_9E_Nec
20	4	1	3	Other	Unknown	M33_9E_Nec
20.5	5	2	3	Other	Unknown	M33_9E_Nec
21.5	2	0	2	AA	Before	M33_9E_Nec
22.5	2	0	2	AA	Before	M33_9E_Nec
