Chrom	CNt	Minor	Major	genotype	time	sample
1	2	0	2	AA	Before	M09_10C_Aca
1.5	2	0	2	AA	Before	M09_10C_Aca
2	3	1	2	AAB	After	M09_10C_Aca
2.5	4	2	2	Other	Unknown	M09_10C_Aca
3	2	0	2	AA	Before	M09_10C_Aca
3.5	2	0	2	AA	Before	M09_10C_Aca
4	2	0	2	AA	Before	M09_10C_Aca
4.5	2	0	2	AA	Before	M09_10C_Aca
5	2	0	2	AA	Before	M09_10C_Aca
5.5	2	0	2	AA	Before	M09_10C_Aca
6	3	1	2	AAB	After	M09_10C_Aca
6.5	3	1	2	AAB	After	M09_10C_Aca
7	4	2	2	Other	Unknown	M09_10C_Aca
7.5	4	2	2	Other	Unknown	M09_10C_Aca
8	2	0	2	AA	Before	M09_10C_Aca
8.5	4	1	3	Other	Unknown	M09_10C_Aca
9	2	0	2	AA	Before	M09_10C_Aca
9.5	4	2	2	Other	Unknown	M09_10C_Aca
10	4	2	2	Other	Unknown	M09_10C_Aca
10.5	2	0	2	AA	Before	M09_10C_Aca
11	3	0	3	AAA	Before	M09_10C_Aca
11.5	3	0	3	AAA	Before	M09_10C_Aca
12	3	0	3	AAA	Before	M09_10C_Aca
12.5	3	0	3	AAA	Before	M09_10C_Aca
13.5	3	1	2	AAB	After	M09_10C_Aca
14.5	3	1	2	AAB	After	M09_10C_Aca
15.5	2	0	2	AA	Before	M09_10C_Aca
16	2	0	2	AA	Before	M09_10C_Aca
16.5	2	0	2	AA	Before	M09_10C_Aca
17	2	0	2	AA	Before	M09_10C_Aca
17.5	4	2	2	Other	Unknown	M09_10C_Aca
18	2	0	2	AA	Before	M09_10C_Aca
18.5	1	0	1	Other	Unknown	M09_10C_Aca
19	2	0	2	AA	Before	M09_10C_Aca
19.5	4	2	2	Other	Unknown	M09_10C_Aca
20	3	0	3	AAA	Before	M09_10C_Aca
20.5	6	3	3	Other	Unknown	M09_10C_Aca
21.5	2	0	2	AA	Before	M09_10C_Aca
22.5	2	0	2	AA	Before	M09_10C_Aca
